speaker,begin,end,dur,trial,coart,affil,infstat,shape,effort,traj,orient,target,cards,lang,phase
FPPTER106,2024-01-09T23:15:04Z,2024-01-09T23:15:05Z,555,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,he.s.got.a.drink.in.his.hand,ambiguous,old,index,nocontact,simple,down,interior,single,eng,S
FPPTER106,2024-01-09T23:17:30Z,2024-01-09T23:17:32Z,1712,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,he.goes.to.jail,ambiguous,old,index,nocontact,simple,vertical,interior,multiple,eng,S
FPPTER106,2024-01-09T23:17:39Z,2024-01-09T23:17:40Z,1068,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,that.s.him,pro,old,index,nocontact,simple,down,interior,multiple,eng,S
FPPTER106,2024-01-09T23:18:04Z,2024-01-09T23:18:08Z,3885,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,walking.back,other,old,index,contact,simple,down,individ,multiple,eng,H
FPPTER106,2024-01-09T23:18:08Z,2024-01-09T23:18:09Z,1295,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,there,pro,other,palm,contact,simple,down,card,multiple,eng,H
FPPTER106,2024-01-09T23:18:09Z,2024-01-09T23:18:10Z,595,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,new,palm,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:10Z,2024-01-09T23:18:10Z,455,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:10Z,2024-01-09T23:18:11Z,555,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:11Z,2024-01-09T23:18:14Z,3160,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,H
FPPTER106,2024-01-09T23:18:14Z,2024-01-09T23:18:15Z,1030,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:15Z,2024-01-09T23:18:16Z,420,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:16Z,2024-01-09T23:18:16Z,415,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:16Z,2024-01-09T23:18:17Z,1160,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,other,contact,simple,vertical,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:17Z,2024-01-09T23:18:18Z,365,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:18Z,2024-01-09T23:18:18Z,555,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:18Z,2024-01-09T23:18:19Z,505,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:19Z,2024-01-09T23:18:19Z,445,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:19Z,2024-01-09T23:18:19Z,380,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER106,2024-01-09T23:18:19Z,2024-01-09T23:18:20Z,610,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,--,other,other,index,contact,simple,down,card,multiple,eng,S
FPPTER107,2024-01-09T23:00:58Z,2024-01-09T23:01:00Z,1906,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,some.parcels.over.here,pro,new,index,contact,complex,down,individ,single,eng,H
FPPTER107,2024-01-09T23:01:11Z,2024-01-09T23:01:12Z,1155,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,the.guy.who.s.coming.has.his.arm.out,noun,new,other,contact,simple,down,individ,single,eng,H
FPPTER107,2024-01-09T23:01:18Z,2024-01-09T23:01:19Z,690,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,he.s.got.a.backpack,ambiguous,new,index,contact,complex,down,individ,single,eng,H
FPPTER107,2024-01-09T23:02:36Z,2024-01-09T23:02:38Z,1325,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,there.s.a.speech.bubble.here,noun,new,other,contact,simple,down,individ,single,eng,S
FPPTER107,2024-01-09T23:03:15Z,2024-01-09T23:03:16Z,866,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,the.bamboo.door,noun,new,other,contact,complex,down,individ,single,eng,S
FPPTER107,2024-01-09T23:03:18Z,2024-01-09T23:03:20Z,1704,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,no.door.on.this.door.frame,noun,new,other,contact,complex,down,interior,single,eng,S
FPPTER107,2024-01-09T23:03:56Z,2024-01-09T23:03:58Z,1125,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,the.window.is.super.small,noun,old,index,nocontact,simple,vertical,other,single,eng,S
FPPTER107,2024-01-09T23:04:10Z,2024-01-09T23:04:26Z,16982,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,four.guys.maybe.sitting.around,ambiguous,old,index,contact,complex,up,card,single,eng,H
FPPTER107,2024-01-09T23:04:26Z,2024-01-09T23:04:29Z,2082,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,to.the.other.guy,noun,old,index,nocontact,complex,down,interior,single,eng,S
FPPTER107,2024-01-09T23:04:29Z,2024-01-09T23:04:30Z,1680,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,in.the.speech.bubble.there.s.a.guy.and.a.girl,noun,old,index,nocontact,simple,down,individ,single,eng,S
FPPTER107,2024-01-09T23:04:37Z,2024-01-09T23:04:37Z,783,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,maybe.he.is.saying.something,pro,old,index,nocontact,simple,down,interior,single,eng,S
FPPTER107,2024-01-09T23:04:37Z,2024-01-09T23:04:39Z,1625,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,to.the.other.guy,noun,new,index,nocontact,complex,down,individ,single,eng,S
FPPTER107,2024-01-09T23:04:40Z,2024-01-09T23:04:41Z,813,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,a.girl,noun,old,index,nocontact,simple,down,interior,single,eng,S
FPPTER107,2024-01-09T23:05:06Z,2024-01-09T23:05:07Z,560,FPPT-ENG-Phase1-20181219-v7-ALS-v1.eaf,got.drinks,noun,new,index,contact,simple,down,individ,single,eng,S
