begin,annotator_1,annotator_2,annotator_3
58.309,sg,sg,sg
71.275,sg,sg,sg
78.955,sg,sg,interior
156.73,sg,sg,sg
195.509,sg,interior,sg
198.981,interior,interior,interior
236.96,other,other,other
250.011,card,card,interior
266.993,sg,interior,interior
269.075,sg,interior,sg
277.027,interior,interior,interior
277.81,sg,sg,sg
280.692,interior,interior,interior
306.122,sg,sg,sg
306.73,sg,sg,sg
318.726,interior,card,interior
335.335,interior,card,card
350.525,sg,sg,sg
386.966,sg,sg,sg
433.992,interior,sg,sg
434.603,sg,sg,sg
547.951,card,card,interior
549.446,card,card,card
727.525,sg,sg,sg
779.667,sg,sg,sg
785.771,sg,sg,sg
797.265,sg,sg,sg
801.324,sg,sg,sg
805.805,sg,sg,sg
850.175,interior,interior,interior
909.022,sg,sg,sg
929.03,interior,interior,interior
931.121,sg,sg,sg
932.355,sg,sg,sg
941.015,interior,interior,interior
1004.509,sg,card,interior
1022.376,card,card,card
1059.058,card,card,card
904.805,interior,interior,interior
1050.918,interior,interior,interior
1059.777,interior,interior,interior
1084.277,card,card,card
1084.755,sg,card,sg
1088.64,card,card,card
1089.935,card,card,card
1090.53,card,card,card
1090.985,card,card,card
1091.54,card,card,card
1094.7,card,card,card
1095.73,card,card,card
1096.15,card,card,card
1096.565,card,card,card
1097.725,card,card,card
1098.09,card,card,card
1098.645,card,card,card
1099.15,card,card,card
1099.595,card,card,card
1099.975,card,card,card
38.954,sg,sg,sg
54.897,sg,sg,sg
57.9,interior,card,interior
69.7,sg,sg,sg
85.406,interior,interior,interior
100.611,sg,sg,sg
132.003,sg,card,sg
138.19,sg,sg,sg
141.286,interior,interior,interior
161.155,sg,sg,sg
200.413,sg,sg,sg
202.172,sg,sg,interior
243.264,sg,sg,sg
244.666,interior,interior,interior
248.826,interior,card,interior
250.254,interior,card,interior
254.564,card,card,card
257.832,card,card,interior
259.143,interior,card,interior
265.835,sg,sg,sg
266.466,interior,sg,interior
299.132,sg,sg,sg
306.543,sg,sg,sg
315.228,interior,card,interior
343.035,sg,sg,sg
343.98,sg,sg,sg
344.963,sg,sg,sg
345.413,sg,sg,sg
346.439,sg,sg,sg
387.681,sg,sg,sg
406.539,sg,sg,sg
415.308,sg,sg,sg
423.224,sg,sg,sg
430.457,sg,sg,sg
452.049,sg,sg,sg
454.225,sg,sg,sg
476.658,sg,card,interior
477.57,other,other,interior
487.779,interior,interior,interior
574.214,sg,sg,sg
578.324,sg,card,interior
648.116,card,card,sg
656.517,card,card,interior
668.41,card,card,interior
678.113,interior,interior,interior
679.891,interior,interior,interior
680.77,card,card,interior
682.697,card,card,interior
718.233,card,card,interior
776.087,sg,sg,sg
778.591,sg,sg,sg
820.131,sg,sg,sg
822.395,interior,sg,sg
826.138,card,card,interior
853.389,interior,sg,interior
854.785,interior,card,interior
912.912,other,other,other
955.315,other,card,interior
957.795,sg,sg,sg
959.465,interior,sg,interior
970.791,card,card,interior
991.81,interior,card,interior
1020.85,sg,sg,sg
1035.81,sg,sg,sg
1036.305,sg,sg,sg
1076.911,card,card,interior
1219.413,card,card,interior
1386.671,card,interior,sg
1387.175,card,card,interior
1398.216,card,card,card
50.494,interior,interior,interior
65.099,sg,sg,sg
89.316,sg,sg,sg
132.589,sg,card,interior
134.246,sg,sg,sg
151.173,sg,card,interior
157.975,interior,sg,sg
166.669,sg,sg,sg
177.993,sg,sg,sg
187.661,sg,sg,sg
188.093,sg,sg,sg
188.64,sg,interior,interior
194.72,sg,sg,sg
257.179,sg,card,interior
262.505,sg,sg,sg
263.246,interior,card,sg
280.019,other,other,other
315.534,sg,sg,sg
316.106,sg,sg,sg
316.42,interior,interior,interior
316.826,sg,card,interior
317.233,sg,sg,sg
317.62,card,card,card
317.946,interior,interior,interior
321.5,interior,interior,interior
324.562,sg,sg,sg
325.773,sg,sg,sg
334.499,sg,sg,sg
337.546,sg,sg,sg
338.746,sg,sg,sg
352.354,interior,interior,interior
352.973,interior,interior,interior
354.24,sg,sg,sg
354.98,sg,sg,sg
358.718,sg,sg,sg
359.173,interior,card,interior
360.346,interior,card,interior
365.74,sg,interior,interior
389.099,sg,sg,sg
389.54,sg,sg,sg
391.46,sg,interior,sg
394.789,sg,sg,sg
400.842,interior,interior,sg
401.14,sg,interior,sg
401.791,sg,sg,sg
402.84,sg,sg,interior
412.305,interior,interior,sg
412.665,interior,interior,interior
423.143,other,other,other
426.52,sg,sg,sg
427.12,interior,card,sg
429.81,card,card,interior
441.911,card,card,interior
444.709,interior,card,sg
445.665,card,card,card
482.223,sg,sg,sg
483.26,interior,interior,interior
483.966,sg,sg,sg
491.879,interior,sg,sg
493.037,card,card,card
537.174,card,card,card
538.855,sg,card,interior
539.785,sg,sg,sg
541.425,sg,sg,sg
541.735,sg,sg,interior
542.145,sg,sg,sg
542.37,interior,interior,interior
543.02,interior,interior,interior
544.103,interior,card,interior
544.8,card,card,card
546.776,sg,sg,sg
547.44,interior,card,interior
553.454,interior,card,interior
559.241,card,card,card
571.02,interior,card,interior
609.365,interior,interior,interior
609.554,interior,card,interior
609.98,card,card,card
610.74,interior,card,interior
612.298,sg,sg,sg
613.245,interior,interior,sg
619.855,sg,sg,sg
628.124,other,other,other
639.639,sg,sg,sg
642.836,sg,sg,sg
642.986,sg,sg,sg
643.783,interior,interior,interior
648.21,sg,sg,sg
656.69,sg,sg,sg
661.57,sg,sg,sg
698.359,sg,sg,sg
699.53,sg,sg,sg
712.698,sg,card,sg
725.625,sg,sg,sg
741.105,interior,interior,interior
767.813,sg,sg,sg
768.155,sg,sg,sg
768.84,sg,sg,sg
770.5,sg,sg,sg
785.013,sg,sg,interior
785.275,interior,card,interior
785.705,interior,card,interior
786.15,sg,interior,interior
786.48,card,card,card
801.143,sg,sg,sg
802.44,interior,interior,interior
805.196,sg,sg,sg
816.933,sg,sg,sg
817.605,interior,card,interior
841.755,interior,sg,sg
843.275,sg,sg,sg
845.127,sg,sg,sg
846.909,sg,sg,sg
848.695,interior,interior,interior
849.885,sg,sg,sg
850.36,sg,sg,sg
850.73,card,card,sg
861.808,sg,interior,sg
864.141,sg,sg,sg
871.27,interior,interior,interior
873.616,interior,card,interior
877.984,sg,sg,sg
882.825,sg,sg,sg
902.479,card,card,interior
909.24,sg,sg,sg
916.568,sg,sg,sg
925.577,interior,interior,interior
936.547,sg,interior,interior
936.98,interior,card,interior
937.205,interior,sg,interior
937.56,sg,card,interior
937.924,interior,interior,interior
956.38,sg,sg,sg
962.562,sg,sg,sg
963.349,interior,card,interior
965.78,card,card,card
967.372,interior,card,interior
968.14,sg,card,interior
968.505,interior,sg,interior
970.52,interior,card,interior
989.879,interior,interior,interior
992.742,sg,sg,sg
993.32,other,card,card
995.25,sg,interior,sg
996.14,sg,sg,sg
1004.147,sg,sg,sg
1018.802,sg,sg,sg
1025.993,sg,sg,sg
1031.126,card,card,card
1040.333,interior,interior,interior
1065.57,card,card,interior
1073.767,interior,card,interior
1098.669,sg,sg,sg
1115.967,other,card,other
1116.672,card,card,interior
1116.962,card,card,interior
1117.362,card,card,card
1117.844,interior,card,interior
1121.709,card,card,card
1122.135,interior,card,interior
1123.696,interior,card,interior
1124.337,interior,interior,interior
1126.015,interior,card,interior
1126.608,other,card,other
1127.621,other,card,other
1136.966,interior,interior,interior
1139.102,interior,card,interior
1141.826,card,card,card
1144.405,card,card,card
1186.821,card,card,card
1234.915,sg,sg,interior
1235.783,sg,sg,sg
1261.501,interior,card,interior
1287.673,sg,sg,sg
1319.246,interior,interior,interior
1321.08,interior,card,interior
1321.803,interior,interior,interior
1331.856,card,card,card
1332.54,card,card,card
1366.964,sg,sg,sg
1369.594,sg,sg,sg
1371.563,interior,interior,interior
240.07,sg,sg,sg
1097.589,card,card,card
1098.764,interior,sg,sg
1100.59,sg,sg,sg
1121.843,sg,sg,sg
1123.448,sg,interior,sg
1155.516,sg,sg,sg
1158.026,interior,interior,interior
1160.413,sg,sg,sg
1173.692,card,card,interior
118.19,sg,card,sg
154.996,interior,card,sg
156.223,sg,sg,sg
158.211,sg,sg,sg
237.28,sg,sg,sg
238.89,interior,interior,interior
252.407,sg,sg,sg
253.24,interior,interior,interior
299.238,interior,card,interior
300.25,sg,sg,sg
301.48,interior,interior,interior
368.05,interior,interior,interior
443.65,interior,interior,interior
446.231,sg,sg,interior
539.66,sg,sg,sg
1120.056,card,card,card
1144.387,other,other,other
1148.583,card,card,card
76.71,card,card,card
82.52,card,card,card
88.932,sg,sg,sg
91.851,sg,sg,sg
393.85,other,other,other
429.943,interior,interior,interior
441.938,other,other,other
444.236,sg,sg,sg
470.555,sg,sg,interior
517.213,interior,interior,interior
518.25,interior,other,other
550.157,interior,card,interior
551.625,sg,card,sg
575.265,other,other,other
605.415,interior,interior,interior
607.412,sg,sg,interior
608.765,interior,interior,interior
658.404,sg,sg,sg
736.704,sg,sg,sg
825.49,interior,interior,interior
827.867,other,other,other
829.479,sg,card,interior
854.5,sg,sg,sg
911.677,other,other,other
913.135,other,other,card
914.959,interior,card,interior
923.452,other,other,other
976.165,interior,sg,interior
1009.324,other,card,interior
1174.16,sg,interior,interior
1177.168,sg,sg,sg
1199.405,card,card,card
1288.935,sg,sg,card
1298.462,sg,card,card
1324.608,card,card,card
1325.865,card,card,card
1326.735,interior,card,sg
1386.528,card,card,card
1393.552,interior,card,sg
1399.783,card,card,sg
1405.989,interior,sg,sg
1417.054,card,card,card
1425.82,card,card,card
1436.515,card,card,card
1438.085,interior,interior,interior
1440.671,interior,card,card
38.836,sg,sg,sg
43.542,sg,interior,sg
45.176,sg,sg,sg
46.028,card,card,card
64.754,sg,sg,sg
65.974,sg,interior,sg
66.944,interior,interior,interior
104.121,interior,interior,sg
107.447,interior,interior,sg
109.655,sg,interior,sg
120.918,sg,sg,sg
121.615,sg,interior,sg
122.404,interior,interior,interior
135.348,interior,interior,interior
138.996,sg,sg,sg
146.371,sg,sg,sg
203.572,sg,sg,sg
343.842,sg,sg,sg
344.96,interior,sg,interior
348.03,sg,sg,sg
349.452,sg,sg,sg
349.746,sg,sg,sg
350.992,sg,sg,sg
352.705,sg,sg,sg
