"begin","annotator_1","annotator_2","annotator_3"
38.954,"sg","interior","interior"
54.897,"sg","sg","interior"
57.9,"interior","card","interior"
69.7,"sg","sg","sg"
85.406,"interior","card","interior"
100.611,"sg","sg","interior"
132.003,"sg","sg","sg"
138.19,"sg","sg","interior"
141.286,"sg","sg","interior"
161.155,"sg","sg","sg"
200.413,"sg","sg","interior"
202.172,"sg","sg","sg"
243.264,"interior","sg","sg"
244.666,"interior","interior","sg"
248.826,"interior","card","interior"
250.254,"sg","card","interior"
254.564,"interior","card","interior"
257.832,"interior","card","interior"
259.143,"interior","card","sg"
265.835,"sg","sg","sg"
266.466,"sg","sg","sg"
299.132,"sg","sg","sg"
306.543,"sg","sg","sg"
315.228,"interior","card","sg"
343.035,"sg","sg","sg"
343.98,"sg","sg","sg"
344.963,"sg","sg","sg"
345.413,"sg","sg","sg"
346.439,"sg","sg","sg"
387.681,"sg","sg","sg"
406.539,"sg","sg","interior"
415.308,"sg","sg","sg"
423.224,"sg","sg","sg"
430.457,"sg","sg","sg"
452.049,"sg","sg","sg"
454.225,"sg","sg","sg"
476.658,"card","card","interior"
477.57,"other","card","card"
487.779,"interior","interior","interior"
574.214,"sg","sg","interior"
578.324,"interior","card","interior"
656.517,"interior","card","interior"
668.41,"card","card","card"
678.113,"interior","interior","sg"
679.891,"sg","sg","interior"
680.77,"card","card","interior"
682.697,"interior","card","interior"
718.233,"interior","card","interior"
776.087,"interior","sg","sg"
778.591,"sg","sg","sg"
820.131,"sg","sg","interior"
822.395,"sg","sg","interior"
826.138,"card","card","card"
853.389,"interior","card","interior"
854.785,"interior","card","card"
955.315,"interior","card","card"
957.795,"sg","sg","sg"
959.465,"sg","sg","interior"
970.791,"card","card","interior"
991.81,"interior","card","interior"
1020.85,"sg","sg","sg"
1035.81,"sg","sg","sg"
1036.305,"sg","sg","sg"
1076.911,"card","card","interior"
1219.413,"card","card","interior"
1386.671,"sg","card","interior"
1387.175,"interior","card","interior"
1398.216,"card","card","interior"
50.494,"interior","interior","interior"
65.099,"sg","sg","sg"
89.316,"sg","sg","sg"
132.589,"sg","card","interior"
134.246,"sg","sg","interior"
151.173,"interior","card","interior"
157.975,"sg","sg","sg"
166.669,"sg","sg","sg"
177.993,"sg","sg","interior"
187.661,"sg","sg","interior"
188.093,"sg","sg","sg"
188.64,"interior","interior","interior"
194.72,"sg","sg","sg"
257.179,"sg","card","interior"
262.505,"sg","sg","interior"
263.246,"sg","sg","interior"
280.019,"other","other","interior"
315.534,"sg","sg","interior"
316.106,"sg","sg","sg"
316.42,"interior","sg","sg"
316.826,"interior","sg","interior"
317.233,"sg","sg","interior"
317.62,"interior","card","interior"
317.946,"sg","card","interior"
321.5,"interior","interior","interior"
324.562,"sg","sg","interior"
325.773,"sg","sg","interior"
334.499,"sg","sg","interior"
337.546,"sg","sg","sg"
338.746,"sg","sg","sg"
352.354,"interior","card","interior"
352.973,"interior","card","interior"
354.24,"sg","sg","sg"
354.98,"sg","sg","interior"
358.718,"sg","card","interior"
359.173,"interior","card","interior"
360.346,"interior","card","interior"
365.74,"sg","interior","interior"
389.099,"sg","sg","sg"
389.54,"sg","sg","sg"
391.46,"sg","sg","sg"
394.789,"sg","sg","interior"
400.842,"interior","interior","interior"
401.14,"sg","interior","sg"
401.791,"sg","sg","interior"
402.84,"sg","sg","sg"
412.305,"sg","sg","interior"
412.665,"sg","interior","interior"
423.143,"card","card","interior"
426.52,"sg","sg","interior"
427.12,"sg","card","sg"
429.81,"sg","card","interior"
441.911,"other","card","interior"
444.709,"interior","card","interior"
445.665,"card","card","interior"
482.223,"sg","interior","sg"
483.26,"sg","interior","sg"
483.966,"sg","sg","sg"
491.879,"sg","sg","interior"
493.037,"card","card","other"
537.174,"card","card","card"
538.855,"interior","card","interior"
539.785,"sg","sg","sg"
541.425,"sg","interior","interior"
541.735,"sg","interior","interior"
542.145,"sg","interior","interior"
542.37,"sg","interior","interior"
543.02,"sg","interior","interior"
544.103,"interior","card","interior"
544.8,"card","card","interior"
546.776,"sg","sg","interior"
547.44,"interior","card","interior"
553.454,"interior","card","interior"
559.241,"card","card","interior"
571.02,"interior","card","interior"
609.365,"interior","card","interior"
609.554,"interior","card","interior"
609.98,"other","card","interior"
610.74,"interior","card","interior"
612.298,"sg","sg","interior"
613.245,"sg","sg","interior"
619.855,"sg","sg","sg"
628.124,"sg","other","interior"
639.639,"sg","sg","sg"
642.836,"sg","card","sg"
642.986,"sg","card","interior"
643.783,"sg","card","interior"
648.21,"sg","sg","interior"
656.69,"sg","sg","sg"
661.57,"sg","sg","interior"
698.359,"sg","sg","sg"
699.53,"sg","sg","interior"
712.698,"sg","sg","interior"
725.625,"sg","sg","interior"
741.105,"interior","card","interior"
767.813,"sg","sg","interior"
768.155,"sg","sg","sg"
768.84,"sg","sg","sg"
770.5,"sg","sg","sg"
785.013,"sg","card","sg"
785.275,"sg","card","interior"
785.705,"interior","card","interior"
786.15,"interior","card","sg"
786.48,"sg","card","interior"
801.143,"sg","sg","interior"
802.44,"interior","interior","sg"
805.196,"sg","sg","interior"
816.933,"sg","sg","interior"
817.605,"sg","card","interior"
841.755,"sg","card","interior"
843.275,"sg","sg","sg"
845.127,"sg","sg","interior"
846.909,"sg","sg","sg"
848.695,"sg","interior","sg"
849.885,"sg","sg","sg"
850.36,"sg","sg","sg"
850.73,"interior","card","interior"
861.808,"sg","sg","interior"
864.141,"sg","sg","interior"
871.27,"sg","card","interior"
873.616,"sg","card","interior"
877.984,"sg","sg","sg"
882.825,"sg","sg","interior"
902.479,"other","card","other"
909.24,"sg","sg","interior"
916.568,"sg","sg","sg"
925.577,"sg","sg","interior"
936.547,"sg","card","interior"
936.98,"interior","card","other"
937.205,"sg","card","other"
937.56,"sg","card","interior"
937.924,"interior","card","interior"
956.38,"sg","sg","sg"
962.562,"sg","sg","interior"
963.349,"interior","card","sg"
965.78,"card","card","card"
967.372,"interior","card","interior"
968.14,"interior","interior","interior"
968.505,"sg","interior","other"
970.52,"interior","card","card"
989.879,"sg","interior","interior"
992.742,"sg","sg","interior"
993.32,"interior","card","interior"
995.25,"sg","sg","interior"
996.14,"sg","sg","sg"
1004.147,"sg","sg","sg"
1018.802,"sg","sg","sg"
1025.993,"sg","sg","sg"
1031.1,"card","card","interior"
1040.333,"interior","interior","interior"
1065.57,"interior","card","interior"
1073.767,"interior","card","interior"
1098.669,"sg","sg","card"
1115.967,"card","card","interior"
1116.672,"card","card","interior"
1116.962,"card","card","interior"
1117.362,"card","card","interior"
1117.844,"card","card","card"
1121.709,"card","card","card"
1122.135,"interior","card","interior"
1123.696,"interior","card","interior"
1124.337,"interior","card","interior"
1126.015,"interior","card","interior"
1126.608,"other","card","interior"
1127.621,"card","card","interior"
1136.966,"interior","card","interior"
1139.102,"interior","interior","interior"
1141.826,"other","card","interior"
1144.405,"card","card","interior"
1186.821,"card","card","interior"
1234.915,"interior","sg","sg"
1235.783,"sg","sg","sg"
1261.501,"sg","card","interior"
1287.673,"sg","sg","interior"
1319.246,"sg","card","interior"
1321.08,"sg","card","interior"
1321.803,"sg","card","sg"
1331.856,"card","card","other"
1332.54,"card","card","card"
1366.964,"sg","sg","interior"
1369.594,"sg","sg","interior"
1371.563,"sg","card","interior"
76.71,"sg","card","interior"
82.52,"sg","card","sg"
88.932,"interior","sg","interior"
91.851,"sg","sg","interior"
393.85,"other","card","interior"
429.943,"sg","sg","sg"
441.938,"other","other","interior"
444.236,"sg","sg","interior"
470.555,"sg","sg","interior"
517.213,"sg","card","interior"
518.25,"interior","other","interior"
550.157,"interior","card","interior"
551.625,"sg","sg","interior"
575.265,"other","other","other"
605.415,"interior","card","interior"
607.412,"sg","sg","sg"
608.765,"interior","interior","interior"
658.404,"sg","sg","sg"
736.704,"sg","sg","interior"
825.49,"sg","sg","interior"
827.867,"other","other","other"
829.479,"sg","interior","interior"
854.5,"sg","sg","interior"
911.677,"interior","other","interior"
913.135,"interior","other","interior"
914.959,"sg","card","interior"
923.452,"other","other","card"
976.165,"sg","sg","sg"
1009.324,"interior","interior","interior"
1174.16,"sg","sg","sg"
1177.168,"sg","sg","sg"
1199.405,"interior","card","interior"
1288.935,"interior","card","interior"
1298.462,"interior","card","interior"
1324.608,"interior","card","interior"
1325.865,"interior","card","interior"
1326.735,"interior","card","interior"
1386.528,"card","card","card"
1393.552,"sg","card","interior"
1399.783,"card","card","card"
1405.989,"sg","sg","sg"
1417.054,"card","card","card"
1425.82,"card","card","card"
1436.515,"card","card","interior"
1438.085,"interior","card","interior"
1440.671,"interior","card","interior"
38.836,"sg","sg","sg"
43.542,"sg","interior","interior"
45.176,"sg","sg","other"
46.028,"sg","sg","sg"
64.754,"sg","sg","sg"
65.974,"sg","sg","sg"
66.944,"sg","interior","interior"
104.121,"sg","interior","interior"
107.447,"sg","interior","sg"
109.655,"sg","interior","interior"
120.918,"sg","interior","interior"
121.615,"sg","interior","interior"
122.404,"sg","interior","other"
135.348,"sg","interior","interior"
138.996,"sg","sg","sg"
146.371,"sg","sg","interior"
203.572,"sg","interior","sg"
343.842,"sg","sg","sg"
344.96,"sg","sg","interior"
348.03,"sg","sg","interior"
349.452,"sg","sg","other"
349.746,"sg","sg","sg"
350.992,"sg","sg","sg"
352.705,"sg","sg","sg"
353.446,"sg","sg","interior"
354.287,"sg","sg","interior"
354.524,"sg","sg","interior"
355.534,"sg","sg","interior"
355.923,"sg","sg","interior"
362.63,"sg","sg","interior"
365.467,"sg","sg","sg"
366.376,"sg","sg","interior"
396.851,"sg","interior","interior"
398.942,"sg","interior","interior"
400.065,"interior","interior","interior"
