pgb-index-contact-complex-down;sent;name;value;lemma;pos;feats;asp;Trans;Event;Process
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Working PGE PGB-palm-contact-simple-down having fun PGE PGB-palm-contact-simple-down with his family PGE.;w1;working;work;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-index-nocontact-complex-vertical;Her father I believe PGE PGB-index-nocontact-complex-vertical is witnessing PGE this as well.;w2;witnessing;witness;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-other-nocontact-simple-down;Because PGB-other-nocontact-simple-down he is wearing his PGE out of prison clothes.;w3;wearing;wear;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;He is PGB-index-contact-simple-down wearing a dark PGE PGB-index-nocontact-simple-down shirt PGE.;w1;wearing;wear;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;He is PGB-index-contact-simple-down wearing flipflops PGE.;w1;wearing;wear;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-complex-down;You can also see while he is PGB-index-contact-complex-down wearing PGE.;w1;wearing;wear;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-complex-down;So they are gathering PGE PGB-index-contact-complex-down walking back PGE.;w1;walking;walk;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-index-contact-complex-down;Cause I PGB-index-contact-complex-down I could not understand PGE who the child was.;w4;understand;understand;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-complex-down;Yeah but PGB-index-nocontact-complex-down now we kind of start to understand why PGE they were not so happy here to see him.;w7;understand;understand;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Touching his arm PGE and.;w1;touching;touch;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-palm-nocontact-simple-down;I do not get these two pictures cause in jail PGB-palm-nocontact-complex-down a lot of the time is PGE PGB-palm-nocontact-simple-down him thinking about himself PGE.;w2;thinking;think;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-nocontact-simple-down;I think he has got PGB-index-nocontact-simple-down I think these PGE his clothes from the end.;w2;think;think;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;I was thinking I PGB-index-contact-complex-down thought it was on the night PGE that it PGB-index-nocontact-simple-down happened PGE and he was saying;w1;thought;think;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;I was wondering whether PGB-index-contact-simple-down this friend PGE PGB-index-contact-simple-down actually thinks PGE this is what he saw or whether.;w2;thinks;think;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down that is I think that is PGE gonna be there.;w4;think;think;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;What do you PGB-index-contact-simple-down think he is carrying PGE;w1;think;think;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-vertical;And PGB-index-contact-simple-vertical he is telling him something about PGE I do not know a girl a boy.;w3;telling;tell;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-nocontact-simple-down;I PGB-index-nocontact-simple-down can not really tell what PGE do you think it is.;w4;tell;tell;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;It looks like PGB-index-contact-simple-down he PGE PGB-index-contact-complex-down is telling his friend PGE PGB-index-contact-simple-down about something he saw PGE.;w2;telling;tell;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-nocontact-complex-down;Perhaps PGB-index-nocontact-complex-down talking to somebody else PGE.;w1;talking;talk;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Talking to him PGE.;w1;talking;talk;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Mental
pgb-index-contact-simple-down;So PGB-index-contact-simple-down it could be his girlfriend PGE PGB-index-contact-simple-down talking to somebody else PGE.;w1;talking;talk;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Mental
pgb-index-nocontact-complex-down;And this guy PGE PGB-index-nocontact-complex-down observed his friend girlfriend stroking some man arm PGE.;w5;stroking;stork;VERB;VerbForm=Ger;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;I think so PGB-index-contact-simple-down it starts here PGE.;w2;starts;start;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-complex-down;Yeah but PGB-index-nocontact-complex-down now we kind of start to understand why PGE they were not so happy here to see him.;w5;start;start;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-vertical;Because PGB-index-nocontact-simple-vertical it was an old man sitting in the PGE.;w6;sitting;sit;VERB;VerbForm=Ger;progressive;Intransitive;card;Material 
pgb-other-contact-simple-down;There might be PGB-other-nocontact-complex-down either PGE you PGB-other-contact-simple-down know another blanket in the corner PGE or he is PGB-other-contact-simple-down sitting on PGE the only means of comfort in his cell.;w1;sitting;sit;VERB;VerbForm=Ger;progressive;Intransitive;card;Material 
pgb-index-nocontact-simple-vertical;But again PGB-index-nocontact-simple-vertical they seem PGE content and happy.;w2;seem;seem;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-down;He is wearing PGE pants here PGB-index-nocontact-simple-down that seem PGE worn off.;w2;seem;seem;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;Yeah PGB-index-contact-simple-down he does not seem PGE too happy.;w4;seem;seem;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-vertical;Cause you can PGB-index-nocontact-simple-vertical see he is holding some PGE sort of drink in his hand.;w1;see;see;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;I can not quite PGB-index-contact-simple-down see on the PGE dad is PGB-index-contact-simple-down face PGE but PGB-index-nocontact-simple-down the mom and the PGE boy look quite sad or angry do not they.;w1;see;see;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;Is that PGB-index-contact-complex-down him like seeing the light or PGE something.;w3;seeing;see;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-index-contact-simple-down;It looks like PGB-index-contact-simple-down he PGE PGB-index-contact-complex-down is telling his friend PGE PGB-index-contact-simple-down about something he saw PGE.;w4;saw;see;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-palm-contact-simple-down;Oh well ok PGB-palm-contact-simple-down so I see a bench PGE.;w3;see;see;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-vertical;You can PGB-index-nocontact-simple-vertical obviously see like the face of disapproval of the PGE child.;w2;see;see;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-down;I was PGB-index-nocontact-simple-down gonna say PGE as well because it is not like in a bar or a house.;w2;say;say;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
