slot	token	lemma	l_freq_corp	l_freq_w_point	token_freq_corp
w2	они	они	119	30	84
w3	немножко	немножко	3	1	3
w4	похожи	похожий	6	4	4
w5	pge	pge	544	481	544
w2	родители	родитель	2	1	3
w3	явно	явно	35	12	38
w4	не	не	270	32	271
w5	pge	pge	544	481	544
w2	мне	я	159	14	64
w3	кажется	казаться	39	7	39
w4	у	у	78	23	78
w5	них	они	119	30	19
w6	pge	pge	544	481	544
w2	они	они	119	30	84
w3	очень	очень	24	3	24
w4	похожи	похожий	6	4	4
w5	с	с	55	18	54
w6	этим	это	290	10	3
w7	pge	pge	544	481	544
w2	тоже	тоже	40	13	40
w3	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	уже	уже	44	14	44
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	стоит	стоять	1	1	1
w4	тут	тут	94	32	94
w5	pge	pge	544	481	544
w2	там	там	77	14	79
w3	вроде	вроде	7	1	7
w4	как	как	121	18	119
w5	свобода	свобода	10	1	2
w6	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	pge	pge	544	481	544
w2	еще	еще	55	8	57
w3	pge	pge	544	481	544
w2	ни	ни	5	4	5
w3	то	то	219	27	186
w4	pge	pge	544	481	544
w2	ни	ни	5	4	5
w3	это	этот	123	113	321
w4	pge	pge	544	481	544
w2	так	так	129	15	129
w3	все	всё	77	16	131
w4	таки	таки	12	3	12
w5	это	этот	123	113	321
w6	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	pge	pge	544	481	544
w2	есть	быть	289	33	133
w3	еда	еда	3	1	2
w4	pge	pge	544	481	544
w2	такие	такой	75	10	10
w3	как	как	121	18	119
w4	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	pge	pge	544	481	544
w2	туда	туда	4	2	4
w3	pge	pge	544	481	544
w2	они	они	119	30	84
w3	видимо	видимо	18	4	18
w4	уже	уже	44	14	44
w5	pge	pge	544	481	544
w2	что	что	258	54	251
w3	либо	либо	21	2	21
w4	это	этот	123	113	321
w5	pge	pge	544	481	544
w2	его	он	570	142	93
w3	отец	отец	9	6	7
w4	pge	pge	544	481	544
w2	который	который	32	12	15
w3	рассказывает	рассказывать	29	7	23
w4	ему	он	570	142	64
w5	pgb	pgb	548	3	548
w6	как	как	121	18	119
w7	pgb	pgb	548	3	548
w8	они	они	119	30	84
w9	познакомились	познакомиться	4	3	4
w10	с	с	55	18	54
w11	его	он	570	142	93
w12	мамой	мама	4	1	1
w13	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	он	он	570	142	350
w5	похож	похожий	6	4	3
w6	pge	pge	544	481	544
w2	на	на	100	20	99
w3	этого	это	290	10	16
w4	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	тут	тут	94	32	94
w4	он	он	570	142	350
w5	выглядит	выглядеть	11	2	6
w6	старше	старый	3	1	1
w7	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	уже	уже	44	14	44
w4	бороду	бород	2	1	1
w5	отрастил	отрастить	1	1	1
w6	pge	pge	544	481	544
w2	и	и	198	32	198
w3	рассказывает	рассказывать	29	7	23
w4	ему	он	570	142	64
w5	историю	история	19	3	7
w6	их	их	12	3	14
w7	знакомства	знакомство	1	1	1
w8	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	чтото	NA	NA	29	NA
w4	не	не	270	32	271
w5	нравится	нравиться	15	2	13
w6	pge	pge	544	481	544
w2	это	этот	123	113	321
