"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"HR@1","FPPTER107","00:00:38.840",38840,"00:00:38.885",38885,"00:00:00.045",45,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:00:45.957",45957,"00:00:46.053",46053,"00:00:00.096",96,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:00:50.029",50029,"00:00:52.433",52433,"00:00:02.404",2404,"specific-new-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:00:55.341",55341,"00:00:55.488",55488,"00:00:00.147",147,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:00:58.012",58012,"00:00:58.141",58141,"00:00:00.129",129,"pp-old-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:03.081",63081,"00:01:03.374",63374,"00:00:00.293",293,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:07.733",67733,"00:01:07.908",67908,"00:00:00.175",175,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:08.807",68807,"00:01:09.596",69596,"00:00:00.789",789,"pro-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:10.416",70416,"00:01:10.645",70645,"00:00:00.229",229,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:14.965",74965,"00:01:15.840",75840,"00:00:00.875",875,"specific-new-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:15.840",75840,"00:01:16.070",76070,"00:00:00.230",230,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:17.797",77797,"00:01:19.348",79348,"00:00:01.551",1551,"specific-new-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:21.655",81655,"00:01:21.921",81921,"00:00:00.266",266,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:25.351",85351,"00:01:25.617",85617,"00:00:00.266",266,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:01:40.904",100904,"00:01:41.014",101014,"00:00:00.110",110,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:02:04.360",124360,"00:02:05.011",125011,"00:00:00.651",651,"specific-new-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:02:07.695",127695,"00:02:07.979",127979,"00:00:00.284",284,"pp-old-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:02:11.998",131998,"00:02:12.135",132135,"00:00:00.137",137,"pp-new-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:02:21.505",141505,"00:02:21.569",141569,"00:00:00.064",64,"pp-old-point","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
"HR@1","FPPTER107","00:02:24.432",144432,"00:02:25.881",145881,"00:00:01.449",1449,"specific-new-nopoint","FPPT-ENG-Phase1-20190213-v6-ALS-v2.eaf"
